Zip_Code,City,County,Current_Actual_EV_Registrations,Current_Predicted_EV_Registrations,Predicted_EV_Registrations_1_Year,Predicted_EV_Registrations_3_Years,Predicted_EV_Registrations_5_Years,Charging_Station_Count,Current_Need_Score,Need_Score_1_Year,Need_Score_3_Years,Need_Score_5_Years
21798,Woodsboro,Frederick County,38,38,48,90,175,0,38.0,48.0,90.0,175.0
20812,Glen Echo,Montgomery County,34,36,49,88,175,0,36.0,49.0,88.0,175.0
21851,Pocomoke City,Worcester County,39,36,48,83,169,0,36.0,48.0,83.0,169.0
21061,Glen Burnie,Anne Arundel County,518,530,640,953,1012,5,88.3,106.7,158.8,168.7
21215,Baltimore,Baltimore City,436,455,563,818,817,4,91.0,112.6,163.6,163.4
21830,Hebron,Wicomico County,36,36,44,75,154,0,36.0,44.0,75.0,154.0
21643,Hurlock,Dorchester County,36,33,48,73,150,0,33.0,48.0,73.0,150.0
21244,Windsor Mill,Baltimore County,575,588,742,1024,1015,6,84.0,106.0,146.3,145.0
21230,Baltimore,Baltimore City,994,1000,1013,1014,1014,6,142.9,144.7,144.9,144.9
21863,Snow Hill,Worcester County,35,37,48,73,144,0,37.0,48.0,73.0,144.0
20762,Andrews Air Force Base,Prince George's County,25,28,38,69,143,0,28.0,38.0,69.0,143.0
20740,College Park,Prince George's County,533,537,663,1027,1369,9,53.7,66.3,102.7,136.9
